2020-03-04,13:05:12,0,Rebo4AI,1583323513721,I'm Rebo4AI; I'm a prototype conversational agent.,INTRODUCE
2020-03-04,13:05:53,0,s,1583323553536,yes,IDSAI_QUESTION1_WITHOUT_REASON+TRUE+YES
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-03-04,13:14:09,0,Rebo4AI,1583324049604,"Hi, I'm Rebo4AI; a prototype conversational agent. With me, you can currently discuss only about intelligence. Is that OK with you; do you want to start a conversation?",TUTOR
2020-03-04,13:14:59,0,s,1583324099901,yes,IDSAI_QUESTION1_WITHOUT_REASON+TRUE+YES
2020-03-04,13:14:59,0,Rebo4AI,1583324101668,"In the TUGraz lecture ""Introduction to Data Science and Artificial Intelligence (IDSA)"", different definitions of intelligence have been discussed.",TUTOR
2020-03-04,13:14:59,0,Rebo4AI,1583324101674,"According to different definitions, something or someone would be called ""intelligent"" if it thinks humanly, acts humanly, thinks rationally, acts rationally; or if it is able to adapt behaviour to a changing environment in order to achieve its goals. I'm not sure I completely understand.",TUTOR
2020-03-04,13:14:59,0,Rebo4AI,1583324101675,I have this information from HERE/URL..,TUTOR
2020-03-04,13:14:59,0,Rebo4AI,1583324101676,"I'm good. You have learned in the ""Introduction to Data Science and Artificial Intelligence"" different definitions of intelligence; I have not been able to follow!",TUTOR
2020-03-04,13:14:59,0,Rebo4AI,1583324101678,But I'm curious: Is a teen now intelligent or not? Why?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-03-04,13:16:13,0,Rebo4AI,1583324174648,"Hi, I'm Rebo4AI; a prototype conversational agent. With me, you can currently discuss only about intelligence. Is that OK with you; do you want to start a conversation?",TUTOR
2020-03-04,13:16:17,0,s,1583324177111,mo,IDSAI_QUESTION1_WITHOUT_REASON+TRUE
2020-03-04,13:16:19,0,s,1583324179530,no,IDSAI_QUESTION1_WITHOUT_REASON+TRUE+NO
2020-03-04,13:16:19,0,Rebo4AI,1583324180678,"OK, no problem; I currently am not able to discuss about anything else - if you are interested in talking to me any time in the future, please go again to this link. Bye!",TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-03-04,13:29:44,0,Rebo4AI,1583324986104,"Hi, I'm Rebo4AI; a prototype conversational agent. With me, you can currently discuss only about intelligence. Is that OK with you; do you want to start a conversation? asasasa",TUTOR
2020-03-04,13:29:57,0,s,1583325000333,no,IDSAI_QUESTION1_WITHOUT_REASON+TRUE+NO
2020-03-04,13:30:00,0,Rebo4AI,1583325002142,"OK, no problem; I currently am not able to discuss about anything else - if you are interested in talking to me any time in the future, please go again to this link. Bye!",TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
2020-03-04,13:33:55,0,Rebo4AI,1583325237390,"Hi, I'm Rebo4AI; a prototype conversational agent. With me, you can currently discuss only about intelligence. Is that OK with you; do you want to start a conversation? asasasa ? ",TUTOR
2020-03-04,13:35:26,0,s,1583325335579,yes,IDSAI_QUESTION1_WITHOUT_REASON+TRUE+YES
2020-03-04,13:35:35,0,Rebo4AI,1583325337476,"In the TUGraz lecture ""Introduction to Data Science and Artificial Intelligence (IDSA)"", different definitions of intelligence have been discussed. According to different definitions, something or someone would be called ""intelligent"" if it thinks humanly, acts humanly, thinks rationally, acts rationally; or if it is able to adapt behaviour to a changing environment in order to achieve its goals. I'm not sure I completely understand.",TUTOR
2020-03-04,13:35:35,0,Rebo4AI,1583325337481,"I have this information from ""	HERE."".",TUTOR
2020-03-04,13:35:35,0,Rebo4AI,1583325337487,"I'm good. You have learned in the ""Introduction to Data Science and Artificial Intelligence"" different definitions of intelligence; I have not been able to follow!",TUTOR
2020-03-04,13:35:35,0,Rebo4AI,1583325337492,But I'm curious: Is a chicken now intelligent or not? Why?,TUTOR
DATE,TIME,TYPING_DURATION,AUTHOR,NOTE,TEXT,ANNOTATIONS
